,Name,Gender
864,Rhoda Chesterfield,F
865,Chevron Era Autopia Cars,M
866,Rosalie Chiang,F
867,Chicha,F
868,Chihiro,F
869,The Children of Hamelin,M
870,Chimera,F
871,Chimpanzee Troop,M
872,China Girl,F
873,Mistress Ching,F
874,Chispi,F
875,Candy Chiu,F
876,Chloe,F
877,Chloe Cluck,F
878,Candy Cho,F
879,Helen Cho,F
880,Margaret Cho,F
881,Grace Choksi,F
882,Priyanka Chopra Jonas,F
883,Dan and Ann Chovie,M
884,Emmanuelle Chriqui,F
885,Chris McGroarty,F
886,Claudia Christian,F
887,Christie,F
888,Christine,F
889,Christopher Robin's Babysitter,F
890,Christopher Robin's Mother,F
891,Chrona,F
892,Chrysta,F
893,Chuchi,F
894,Chula Battiest,F
895,Shaniqua Chulavista,F
896,Chuluun,F
897,Charlet Chung,F
898,Jamie Chung,F
899,Ciela,F
900,Cinder,F
901,Cinderella,F
902,Cinderella's Mother,F
903,Cinderella's Stepmother,F
904,Cindy,F
905,Circe,F
906,Circus Animals,M
907,Circus Bugs,M
908,Circus Elephants,F
909,Citizens of Halloween Town,M
910,CJ Hook,F
911,Meridian Clade,F
912,The Clades,M
913,Claire,F
914,Claire and Vince,M
915,Claire Clancy,F
916,Clamanda,F
917,Clamantha,F
918,Clan Ishimura,M
919,Clara Hannon,F
920,Clara Stahlbaum,F
921,Clarice,F
922,Clarissa,F
923,Clarisse La Rue,F
924,Charlotte Clark,F
925,Emilia Clarke,F
926,Heather Clarke,F
927,Halinor Clarkson,F
928,Kelly Clarkson,F
929,Princess Claudia,F
930,Claudia,F
931,Mrs. Claus,F
932,The Claw's Grandmother,F
933,Eda Clawthorne,F
934,Gwendolyn Clawthorne,F
935,Lilith Clawthorne,F
936,Jade Claymore,F
937,Mrs. Clegg,F
938,Clementine,F
939,Clementine Clevenger,F
940,Clementine the Spider,F
941,Kiersey Clemons,F
942,Cleo,F
943,Clerk Clara,F
944,Clerk Doe,F
945,Clerk Penny,F
946,Ruth Clifford,F
947,Princess Clio,F
948,Clip,F
949,Cloak and Dagger,M
950,Clorinda,F
951,Glenn Close,F
952,Clouds,M
953,Clover,M
954,Clover Lightfoot,F
955,Clovis,F
956,Clara Cluck,F
957,Rowena Clybourne,F
958,Magnolia Dusty Clydesdale,F
959,Coach Doogan,F
960,Coach Jackie,F
961,Coach McCarthy,F
